Código,Ação,Tipo,Qtde. Teórica,Part. (%)
RRRP3,3R PETROLEUM,ON NM,238.441.689,322.0
ALOS3,ALLOS,ON NM,532.616.595,552.0
ALPA4,ALPARGATAS,PN N1,166.362.038,75.0
ABEV3,AMBEV S/A,ON,4.394.245.879,2462.0
ARZZ3,AREZZO CO,ON NM,62.305.891,157.0
ASAI3,ASSAI,ON NM,1.349.217.892,685.0
AZUL4,AZUL,PN N2,332.825.777,120.0
B3SA3,B3,ON NM,5.602.790.110,2817.0
BBSE3,BBSEGURIDADE,ON NM,671.750.768,1086.0
BBDC3,BRADESCO,ON N1,1.489.259.656,818.0
BBDC4,BRADESCO,PN N1,5.135.772.281,3122.0
BRAP4,BRADESPAR,PN N1,250.992.819,228.0
BBAS3,BRASIL,ON NM,2.842.247.534,3728.0
BRKM5,BRASKEM,PNA N1,265.877.867,233.0
BRFS3,BRF SA,ON NM,835.221.269,930.0
BPAC11,BTGP BANCO,UNT N2,1.150.645.866,1746.0
CRFB3,CARREFOUR BR,ON NM,533.990.587,237.0
CCRO3,CCR SA,ON NM,995.335.937,569.0
CMIG4,CEMIG,PN EJ N1,1.868.640.510,907.0
CIEL3,CIELO,ON NM,1.095.462.329,303.0
COGN3,COGNA ON,ON NM,1.814.903.540,158.0
CPLE6,COPEL,PNB N2,1.679.233.590,767.0
CSAN3,COSAN,ON NM,1.168.966.848,777.0
CPFE3,CPFL ENERGIA,ON NM,187.732.538,302.0
CMIN3,CSNMINERACAO,ON N2,1.110.559.345,283.0
CVCB3,CVC BRASIL,ON ATZ NM,525.582.771,51.0
CYRE3,CYRELA REALT,ON NM,265.784.616,246.0
DXCO3,DEXCO,ON NM,302.768.240,98.0
ELET3,ELETROBRAS,ON N1,1.945.040.784,3424.0
ELET6,ELETROBRAS,PNB N1,268.733.136,529.0
EMBR3,EMBRAER,ON NM,734.632.601,1304.0
ENGI11,ENERGISA,UNT N2,326.265.871,731.0
ENEV3,ENEVA,ON NM,1.579.630.820,985.0
EGIE3,ENGIE BRASIL,ON NM,255.236.961,555.0
EQTL3,EQUATORIAL,ON NM,1.155.467.134,1741.0
EZTC3,EZTEC,ON NM,91.514.307,58.0
FLRY3,FLEURY,ON NM,240.822.651,178.0
GGBR4,GERDAU,PN N1,1.246.339.197,1125.0
GOAU4,GERDAU MET,PN N1,660.411.219,345.0
NTCO3,GRUPO NATURA,ON NM,849.346.756,648.0
SOMA3,GRUPO SOMA,ON NM,496.029.967,150.0
HAPV3,HAPVIDA,ON NM,4.394.332.306,826.0
HYPE3,HYPERA,ON EJ NM,409.490.388,577.0
IGTI11,IGUATEMI S.A,UNT N1,217.622.138,220.0
IRBR3,IRBBRASIL RE,ON NM,81.838.843,127.0
ITSA4,ITAUSA,PN EJ N1,5.560.910.983,2681.0
ITUB4,ITAUUNIBANCO,PN EJ N1,4.740.126.023,7540.0
JBSS3,JBS,ON NM,1.134.986.472,1798.0
KLBN11,KLABIN S/A,UNT N2,777.422.123,819.0
RENT3,LOCALIZA,ON EJS NM,863.138.188,1780.0
LREN3,LOJAS RENNER,ON EJ NM,951.452.770,583.0
LWSA3,LWSA,ON NM,428.737.358,85.0
MGLU3,MAGAZ LUIZA,ON NM,351.757.412,208.0
MRFG3,MARFRIG,ON NM,331.799.687,201.0
BEEF3,MINERVA,ON NM,261.036.182,86.0
MRVE3,MRV,ON NM,375.130.280,123.0
MULT3,MULTIPLAN,ON EJ N2,268.505.432,297.0
PCAR3,P.ACUCAR-CBD,ON NM,379.400.826,51.0
PETR3,PETROBRAS,ON N2,2.150.495.108,4264.0
PETR4,PETROBRAS,PN N2,4.566.445.852,8532.0
RECV3,PETRORECSA,ON NM,275.166.463,251.0
PRIO3,PETRORIO,ON NM,804.019.521,1728.0
PETZ3,PETZ,ON NM,314.729.428,56.0
RADL3,RAIADROGASIL,ON NM,1.280.079.284,1614.0
RAIZ4,RAIZEN,PN N2,1.210.920.604,175.0
RDOR3,REDE D OR,ON EJ NM,1.144.776.793,1522.0
RAIL3,RUMO S.A.,ON NM,1.218.352.541,1239.0
SBSP3,SABESP,ON NM,340.001.799,1252.0
SANB11,SANTANDER BR,UNT,342.918.449,462.0
SMTO3,SAO MARTINHO,ON EJ NM,142.348.116,229.0
CSNA3,SID NACIONAL,ON,600.865.451,381.0
SLCE3,SLC AGRICOLA,ON NM,194.217.908,166.0
SUZB3,SUZANO S.A.,ON NM,664.114.223,1859.0
TAEE11,TAESA,UNT N2,218.568.234,367.0
VIVT3,TELEF BRASIL,ON EJ,408.343.528,909.0
TIMS3,TIM,ON EJ NM,807.896.814,630.0
TOTS3,TOTVS,ON NM,514.122.351,768.0
TRPL4,TRAN PAULIST,PN N1,395.801.044,511.0
UGPA3,ULTRAPAR,ON NM,1.087.228.062,1153.0
USIM5,USIMINAS,PNA N1,515.117.391,200.0
VALE3,VALE,ON NM,4.427.123.466,13526.0
VAMO3,VAMOS,ON NM,498.860.020,185.0
VBBR3,VIBRA,ON EJ NM,1.114.613.709,1122.0
VIVA3,VIVARA S.A.,ON NM,125.912.025,130.0
WEGE3,WEG,ON EJ NM,1.482.105.837,3067.0
YDUQ3,YDUQS PART,ON NM,289.347.914,148.0
